batsman,actual_runs,expected_runs,balls,replacement_exp,batting_war
ME Trescothick,1997,1799.8251202244558,2480,1529.8513521907873,46.71486478092127
DN Wyatt,1680,1430.4700064695455,1851,1215.8995054991137,46.41004945008863
AT Carey,2149,1988.361764760655,2417,1690.1075000465567,45.889249995344336
C Munro,1249,932.0066567478779,1207,792.2056582356962,45.67943417643038
KIC Asalanka,2015,1837.7652822152713,2287,1562.1004898829806,45.289951011701945
E Lewis,1947,1762.937111553456,2273,1498.4965448204375,44.85034551795625
JD Ryder,1242,942.770197323448,1294,801.3546677249308,44.06453322750692
PD Salt,976,636.2363798393235,861,540.800922863425,43.5199077136575
HE van der Dussen,2529,2476.11940717307,2965,2104.7014960971096,42.42985039028904
E Chigumbura,3266,3349.0150110091126,4235,2846.6627593577455,41.93372406422545
DL Vettori,1450,1213.1732673706633,1745,1031.1972772650638,41.88027227349362
R Ravindra,1201,922.436499310657,1122,784.0710244140585,41.692897558594154
DJ Bravo,2760,2758.5419025171664,3506,2344.7606171395914,41.52393828604086
BL Mooney,2433,2381.907594891949,2872,2024.6214556581565,40.83785443418435
HC Knight,3158,3235.8931705860655,4205,2750.5091949981556,40.749080500184434
BC Lara,1878,1734.1223765947225,2455,1474.004020105514,40.3995979894486
AN Cook,3204,3295.036075256221,4238,2800.780663967788,40.32193360322121
Mohammad Rizwan,2546,2526.7170659389108,2987,2147.709506048074,39.82904939519258
SW Bates,3303,3418.7993633824526,4361,2905.9794588750847,39.70205411249153
Mahmudullah,5131,5569.5783032912095,6811,4734.141557797528,39.68584422024723
BM Duckett,1138,873.1165076207129,1092,742.149031477606,39.5850968522394
R Dravid,3650,3828.995840122446,5133,3254.6464641040793,39.53535358959207
KJ Coetzer,2280,2218.257547949591,2826,1885.5189157571522,39.44810842428478
H Masakadza,3955,4190.199408824535,5646,3561.6694975008545,39.33305024991455
MD Patel,2036,1938.3444765596064,2552,1647.5928050756654,38.84071949243346
SJ Taylor,1651,1487.5143913965553,1932,1264.387232687072,38.66127673129281
JDS Neesham,1508,1319.8058664101225,1538,1121.834986448604,38.6165013551396
A Gardner,1175,934.7182644533506,1168,794.5105247853479,38.04894752146521
TT Beaumont,4149,4433.583591507342,5490,3768.5460527812406,38.04539472187594
Waseem Muhammad,1567,1404.1234224000125,1819,1193.5049090400105,37.349509095998954
DR Martyn,2239,2195.362296144045,2970,1866.0579517224382,37.294204827756175
M Labuschagne,1855,1744.8892834360327,2238,1483.1558909206278,37.18441090793722
M Kapp,2261,2224.479899479512,2646,1890.807914557585,37.01920854424149
CJ Anderson,1102,861.8409974922673,1044,732.5648478684273,36.943515213157276
SA Edwards,1873,1770.5523924461581,2120,1504.9695335792344,36.80304664207656
DJ Malan,1418,1235.870460656975,1504,1050.4898915584288,36.75101084415712
Imam-ul-Haq,2854,2926.1903165116028,3543,2487.2617690348625,36.67382309651375
DR Smith,1261,1053.0705024135113,1430,895.1099270514846,36.589007294851534
J Charles,1544,1386.3104678232567,1840,1178.3638976497682,36.56361023502318
SE Marsh,2622,2654.972211078033,3318,2256.726379416328,36.52736205836718
Sarfraz Ahmed,2289,2266.327537748603,2673,1926.3784070863123,36.26215929136877
HK Matthews,2719,2772.8041865677114,3478,2356.8835585825545,36.21164414174454
Mohammad Yousuf,2783,2851.0800049245936,3741,2423.4180041859045,35.95819958140955
CR Ervine,2909,2999.507832573596,3763,2549.5816576875563,35.941834231244364
JDP Oram,1546,1396.9110826343565,1762,1187.374420239203,35.862557976079714
SM Pollock,1358,1177.1482695293369,1469,1000.5760290999362,35.74239709000638
MD Gunathilaka,1592,1453.6943314935584,1899,1235.6401817695246,35.635981823047544
Sharjeel Khan,787,509.8474993470972,692,433.3703744450326,35.362962555496736
Yousuf Youhana,1740,1631.9464060600328,2208,1387.1544451510279,35.28455548489721
MP Stoinis,1489,1347.5772681033006,1622,1145.4406778878056,34.35593221121944
Inzamam-ul-Haq,1916,1859.9765418785712,2482,1580.9800605967855,33.50199394032145
RS Bopara,2689,2769.9847835081714,3520,2354.4870659819458,33.45129340180542
P Nissanka,1820,1747.8674847557904,2177,1485.687362042422,33.43126379575781
DJ Hussey,1672,1575.9930071510692,1912,1339.5940560784088,33.24059439215912
LS Livingstone,912,683.8793995199461,867,581.2974895919542,33.07025104080458
M van Lingen,1300,1148.7069016983478,1442,976.4008664435956,32.35991335564044
D Ramdin,2072,2057.254354700528,2636,1748.6662014954488,32.33337985045512
T Bavuma,1706,1630.4465986849623,1970,1385.879608882218,32.0120391117782
DJS Dottin,1679,1600.5076857033782,2070,1360.4315328478715,31.85684671521285
MS Wade,1792,1738.9106299439802,2226,1478.0740354523832,31.39259645476168
RD Berrington,2627,2724.1607160998346,3444,2315.5366086848594,31.14633913151406
AM Rahane,2906,3052.4645569837257,3812,2594.594873436167,31.140512656383315
